t_s,gps_x_m,gps_y_m,ekf_x_m,ekf_y_m,ekf_speed_mps,ekf_heading_deg,in_dropout,error_m,std_x_m,std_y_m,std_heading_deg
0.0,0.0,0.0,-0.0003746737098687476,0.00036207668181190833,0.6237027604110518,135.9795532226563,False,0.000521037342595262,4.573648229003676,4.573648227021336,45.00000032926432
2.997633056640625,-4.551029672001302,-5.915570096973188,-2.045984957763365,-0.4695563547642463,0.5614993250055587,144.25859969246932,False,5.994523725923527,4.482730651871846,4.416341437931943,47.720044116587374
3.790923828125001,-4.569758189363687,-7.728047401231342,-2.7177018728183566,-1.9500699271303836,0.4243387867418741,151.13700250056476,False,6.067547798812428,4.208516741416777,4.07634178053444,47.37255948490491
4.788760742187501,-4.073452484919385,-10.352247670233572,-2.978091933929127,-3.8320819863013,0.19345348805331816,168.86871910629665,False,6.61153350461099,4.2030471264893245,3.7519733094243533,47.02287159102496
5.788987548828125,-3.970445640319779,-11.6087503418999,-3.019065565417194,-6.082392991341574,-0.013175748993499548,-178.89431618909714,False,5.607650988871515,3.896804585424746,3.1954991215363666,46.52273657394764
6.031937744140626,-3.923624347211655,-11.808901209802713,-3.0904275934933545,-7.281259624750054,-0.07659106390754132,-175.13079582777416,False,4.6036675763031445,3.4078570196439126,2.8199212434467906,46.093350687429265
6.670880126953126,-3.811253244228693,-12.053530048114824,-3.125840191642156,-8.05944970217176,-0.09212701021973968,-176.93685894765423,False,4.0524645417948655,3.3642112847937438,2.5603893728624523,45.99139240147331
6.790715820312499,-3.895531571465914,-12.509429247462569,-3.2207542550035306,-8.745512464944508,-0.0944110801789529,-173.27485698816807,False,3.823923897325009,2.9912537540518653,2.3478219579676955,45.808461431525444
7.273615234375001,-3.801888985845336,-12.80965554931679,-3.266198818685532,-9.323074366099664,-0.08752544626694114,-177.2359292877,False,3.527493770703987,2.917599894364989,2.1678253223764004,45.772273560584296
7.789001708984374,-3.773796210099596,-13.688095469321148,-3.3021101698047985,-9.90853696430049,-0.07817318113877515,-178.97208094485444,False,3.8088778155098355,2.8586986599260524,2.016248316102594,45.7927838955351
7.832535888671876,-3.867438795720174,-13.821529381256358,-3.384189985592788,-10.401377040252882,-0.0653064865541273,-177.4080909938453,False,3.454123832198419,2.541580258414671,1.8904634354765237,45.734623244243934
8.4737783203125,-3.79252472746198,-14.288548073736916,-3.419625116845725,-10.87107777932836,-0.049489774170304104,-178.36468066185944,False,3.437754693511836,2.602902594655185,1.775843799910885,45.84675210166987
8.789412353515624,-3.895531571465914,-14.955717633412968,-3.49137698150723,-11.339569711300678,-0.02979647349227138,-179.65828426073622,False,3.6386627663444857,2.4625076472770937,1.6788032429302027,45.85655690525908
8.993162353515626,-3.9517171229573953,-15.289302413250994,-3.569232414126108,-11.80363532041621,-0.010637667533794169,179.49943092433563,False,3.5065894590842883,2.270970996443561,1.586802882388474,45.84912407045439
9.792970458984374,-4.0359954501946165,-16.479088128949716,-3.665733505398788,-12.348759778342384,0.014713599461485993,-179.57564867884946,False,4.146891147787059,2.37405650515332,1.5019383723949418,46.05469054335371
9.81459765625,-4.073452484919385,-16.5791635621938,-3.7411715117278828,-12.818403916398347,0.03247813821317682,-178.81562419703266,False,3.7754104092917657,2.0900216591920673,1.4279648688500137,46.03764235991661
10.273771728515625,-4.129638036410865,-17.05730174709985,-3.8398440343643943,-13.263297352148177,0.058233375308479204,-172.60085407124387,False,3.805055835665847,2.064839395156917,1.3646550562198994,46.09378125782312
10.791307373046877,-4.288830431906281,-17.724471306775904,-4.001730871165304,-13.723111789652478,0.10631173752329233,-165.19686286253332,False,4.011646064030559,2.057870265440444,1.3133785104524363,46.16482952846711
11.035275146484375,-4.345015983397762,-18.01357811620463,-4.141516307721366,-14.191185050229363,0.15200523682074993,-168.46821966023816,False,3.8278062736789864,1.9114703497634153,1.2588775994921535,46.15685581698436
11.495486572265625,-4.410565793868271,-18.480596807977868,-4.306017385673947,-14.63817192208587,0.19297908463217495,-170.4155548899768,False,3.8438469497858647,1.887420825976717,1.2172149120226288,46.18414543420222
11.788225830078124,-4.485479862722135,-18.858659558932512,-4.453006024678848,-15.12309219758807,0.2390565942999031,-160.8062853115704,False,3.7357085086097306,1.7689493891205843,1.1743678625083271,46.143552766274546
12.157347900390624,-4.551029672001302,-19.27008078787096,-4.615235825477556,-15.594236240900084,0.28514559209009444,-158.74978399276745,False,3.676405250192059,1.705980969876547,1.1458186069259488,46.08361644741163
12.747392333984374,-4.625943740855168,-19.870533391579404,-4.83727160045913,-16.08441529703853,0.32670684871167927,-163.0765114193912,False,3.7920112987772883,1.7349637305042125,1.1386819194628728,45.98434867384409
12.79258447265625,-4.6540365171965785,-19.981728317956303,-4.877412435377653,-16.48681831320628,0.3567624170114947,-158.65162873301662,False,3.5020412250750326,1.5680319412049277,1.0970678510992413,45.78822301379428
13.347540771484374,-4.71022206868806,-20.58218092166475,-5.082557643930723,-16.992392737669004,0.3968499782547585,-150.97171024797845,False,3.6090459939638855,1.600397288701525,1.1205652111254703,45.526484851108606
13.802817382812504,-4.822593171671022,-21.07143859899629,-5.2684820278574644,-17.54150631847168,0.4480525097169497,-146.58434602414047,False,3.557982402592928,1.581285471561846,1.1412510562406317,45.025273908122465
14.107260986328123,-4.888142980950189,-21.39390388640883,-5.387668917740922,-18.07751839331512,0.5029388624200747,-135.75599722373178,False,3.353794701577462,1.5110257800294382,1.147081203130134,44.38028253462031
14.60833056640625,-4.963057049804053,-21.87204207060756,-5.5611135712912665,-18.744414250750722,0.5778946934298638,-122.66033393492422,False,3.1842938593094416,1.4983293672161018,1.2148887200488814,43.53311795943666
14.796514404296872,-5.075428152787016,-22.03883446123389,-5.61952408318734,-19.250644884981757,0.6471118451758978,-117.51808344144608,False,2.840781845654334,1.4108157496306406,1.1991263666769763,42.62412395811773
15.188967529296876,-5.150342222236551,-22.394658225922903,-5.715622275550548,-19.88915100577485,0.7255254735973847,-109.49689997334347,False,2.5684835932683523,1.3881372779323098,1.2511031012699816,41.54458508961432
15.787572021484374,-5.346991651861064,-22.87279641012163,-5.773196131194595,-20.759194069478934,0.8327171599174588,-92.48326418881116,False,2.156145893156178,1.4006509278693657,1.3585802277149166,40.080709438800625
15.889085449218747,-5.393812945564859,-22.93951336608924,-5.756701697794027,-21.172440728640925,0.9124864186311393,-88.21739724038177,False,1.803949542673793,1.3162815371098457,1.2918792527060585,38.74310409535485
16.596787841796875,-5.515548306335507,-23.64004140445641,-5.7605629364596975,-22.177689717195594,1.01167495475151,-88.97456327638878,False,1.4827355213285518,1.4254405290466796,1.437266710023826,36.80853074686754
16.790072509765622,-5.65601218565988,-23.76235582396613,-5.739073548094308,-22.628572564634243,1.0863589450711535,-82.23468274680654,False,1.1368217402348955,1.3721103463716078,1.3819711335905605,34.958713435898375
17.209831787109373,-5.787111806005226,-24.10706009622965,-5.694829055442384,-23.280096555836312,1.149906136978144,-80.16841172173709,False,0.8320966309217487,1.407995342564222,1.409656001880459,32.95860424291841
17.8096142578125,-5.918211425754901,-24.629676251545,-5.675568762509798,-24.113507392714112,1.1983817018878884,-83.04968513620183,False,0.5703558125008086,1.5080972352106006,1.498714993188892,30.538743677303266
18.393038330078127,-6.171046407466566,-25.185650884844147,-5.712346371264116,-24.89775421734212,1.2290107338402152,-82.48411133741045,False,0.5415627520157777,1.5704615452720072,1.5594320703292759,27.896602965789054
18.79306689453125,-6.348967320920036,-25.608191606208088,-5.829488938023399,-25.440631620405405,1.2461790649907543,-86.30808328686983,False,0.5458334353436959,1.5451438734063296,1.5408894613236344,25.498632574913245
19.071347900390627,-6.433245647561587,-25.88617892321132,-5.932818090087574,-25.807755675406586,1.253242818656036,-84.9930426434288,False,0.50653523675619,1.481311553091917,1.4842819971131769,23.53885231095551
19.795043457031248,-6.583073785269317,-26.64230442370597,-6.026644726201669,-26.691871250638297,1.2474117540209544,-86.07301400311067,False,0.5586324087510924,1.5535031621325854,1.5850956331319228,21.66256548809248
19.81899365234375,-6.60180230203603,-26.686782394822583,-6.143975858872401,-26.714202381708315,1.244828884080005,-87.38021766851547,False,0.4586468224469385,1.4029615388731487,1.4262235369809682,20.1939601769821
20.292908691406247,-6.676716370889895,-27.164920579021317,-6.217635968184597,-27.27160132330552,1.235146413793004,-86.61920289771214,False,0.47131263228253306,1.4047423881435481,1.4529081615399957,18.96751269195776
20.77211767578125,-6.732901922381376,-27.70977571989497,-6.27130027180758,-27.82484493239552,1.2235743251697455,-84.65222906103685,False,0.47572787124358124,1.3995861658970428,1.4782355354667285,17.855032213787513
20.79526586914063,-6.732901922381376,-27.77649267586257,-6.35029605596258,-27.83818271902509,1.2183617024212183,-85.454040281313,False,0.3875473009110906,1.2896040586108437,1.3494529911803068,16.929265680992614
21.593641601562503,-6.826544508001954,-28.64381310344144,-6.422400444878504,-28.77078959473716,1.205991197329433,-89.26206418749292,False,0.42362182793111935,1.3655296079393837,1.5036682657450369,16.4634048313353
21.79750048828125,-6.826544508001954,-28.888441941753552,-6.478358692777192,-28.987995441484372,1.1970080862920665,-85.7793781799231,False,0.3621384558872286,1.2965832444803052,1.4235814315991842,15.636204733896916
22.134552490234377,-6.845273025364337,-29.27762418513369,-6.50528218835284,-29.36486401429648,1.1886748648954857,-84.2879991787622,False,0.3510050669778586,1.26617737012847,1.4086539557612203,14.984342996213833
22.790485107421876,-6.83590876698098,-30.067108164319457,-6.525995328752578,-30.12374491550786,1.18181870590065,-86.99052940802464,False,0.315046124844802,1.295596605545469,1.506613660855322,14.642780069555432
22.82084838867188,-6.826544508001954,-30.13382512028706,-6.572511757712673,-30.153908289682313,1.1794040785574276,-87.09442071528525,False,0.2548253753308226,1.2071344325540563,1.3667824946235672,14.042152064276566
23.41429150390625,-6.826544508001954,-30.74539721712832,-6.5137182666890725,-30.818759047394533,1.1702948651387395,-80.42814955937897,False,0.32131326675684174,1.2279091515840381,1.4457583704972992,13.821152579754663
23.794168457031247,-6.7703589565104725,-31.167937938492265,-6.51708994306828,-31.238082019717655,1.1619188800152214,-84.41496081954448,False,0.26280294005382754,1.208161851985138,1.438091184375824,13.415995512030532
24.03538354492188,-6.742266181360403,-31.42368626993719,-6.542391805927496,-31.497029237805183,1.1545523053154305,-88.03660551730195,False,0.21290598134007505,1.1692465481225571,1.3861828824439226,12.991367071641905
24.800295166015623,-6.629895078377441,-32.29100669751605,-6.547024210067754,-32.35682667210055,1.1473963411129227,-89.33276908341344,False,0.10582934313651232,1.2123422205179233,1.5222171313326136,13.16046910318541
24.82571313476563,-6.611166561015057,-32.34660416035084,-6.556449398086257,-32.37756300097242,1.1447828042276236,-90.23687987363743,False,0.06286825694743926,1.1408528919360172,1.375389375862667,12.745376633719161
25.326709960937507,-6.57370952688596,-32.91369828678281,-6.602216582113388,-32.94103993185159,1.142431512634764,-95.02387044326848,False,0.039499591805572,1.1464586431737342,1.4210463338640988,12.641100775378488
25.79450732421876,-6.517523975394479,-33.51415089049126,-6.608563012498611,-33.48404664354421,1.1451866461740108,-92.23733402279305,False,0.09588728779716543,1.1465689277688325,1.4487755168693237,12.498278963993837
25.84692041015625,-6.508159716415451,-33.61422632444266,-6.598734370862872,-33.557689136739654,1.1493241078147414,-93.64748722635174,False,0.10677182035366255,1.0918814952967077,1.3316408644351239,12.166635808845408
26.567077148437495,-6.489431199053068,-34.34811284008632,-6.7104784381254134,-34.3645659111134,1.1463456206404217,-100.08391821514263,False,0.22165871389983471,1.1338285093761375,1.460705491577248,12.462943171738896
26.795969482421874,-6.45197416492397,-34.67057812749885,-6.709664548655179,-34.6320347031109,1.1478166347359915,-98.25313065742353,False,0.26055696005113255,1.1048483237928162,1.398091623308752,12.190138209033591
27.046725830078124,-6.433245647561587,-34.98192392177857,-6.719045735064443,-34.926383103275306,1.1500053321966228,-99.98856829082479,False,0.2911468229891099,1.0837543071558595,1.3585749720396034,11.9621032888158
27.808158447265622,-6.405152872411517,-35.78252739338983,-6.85088450308969,-35.770810237896235,1.1448133890096606,-103.0201712020901,False,0.4458856112501092,1.1373690586394052,1.4984322451994099,12.369855578379946
28.30906127929687,-6.3583315793033925,-36.4163384757894,-6.8981807721470645,-36.33834578968818,1.1434171801237036,-102.96777469550985,False,0.5454539486512573,1.1486527094648682,1.5183458082124244,12.326905050089584
28.794538085937496,-6.227231958958047,-37.01679107949785,-6.954048199866102,-36.88408485776676,1.141527051960555,-107.44730492233755,False,0.7388320440626929,1.1589154684536298,1.524599877944377,12.261189194092005
28.83015234375,-6.189774924828949,-37.09462752859827,-6.867914080922488,-36.94548130848163,1.1419705179903523,-106.5701565819662,False,0.6943466785420209,1.1010975069713622,1.3834144057105793,11.96460601202217
29.63017309570312,-6.133589373337468,-38.00642592658643,-7.023627673036749,-37.82831273143033,1.1368919176697134,-108.22985824871778,False,0.9076852346602882,1.166270105212491,1.5203387847518057,12.455082696349644
29.801671386718745,-6.068039563462631,-38.21769628691474,-6.954232650157236,-38.03347237338981,1.132509237227467,-108.27239996197291,False,0.905139015411307,1.1266816248361224,1.422452369279796,12.184448519241446
30.170760498046874,-6.039946787121219,-38.62911751585318,-6.954709239985182,-38.446016864563234,1.1261919643134048,-108.27834994842752,False,0.9329073875109453,1.1234713382179307,1.4134834781465229,12.060428234584867
30.7299619140625,-6.058675304483604,-39.28516758310374,-6.947300215007277,-39.08731020998796,1.12329403870073,-100.86444009615943,False,0.9103855071888414,1.1424391496135278,1.4767302181376554,12.146844990725821
30.794526611328124,-6.039946787121219,-39.36300403149684,-6.850144961884231,-39.18041660469103,1.1215058232604387,-101.50872094831817,False,0.830517459670104,1.0916149110712712,1.3600152826730962,11.880909062403731
31.311154785156248,-6.049311046100248,-39.90785917237049,-6.901552973729563,-39.74667682842053,1.1158494373139933,-106.82588886994971,False,0.8673500165507197,1.1132774849882974,1.4157677831842075,11.948599153908633
31.79842529296875,-6.039946787121219,-40.41935583526035,-6.869641604314231,-40.29047853357875,1.1095868621111515,-98.96586249899836,False,0.839644477481794,1.1209569111214575,1.4543961313476301,11.957608253636097
32.011669433593745,-6.039946787121219,-40.65286518114697,-6.800516764086943,-40.53332316750894,1.1052770466227688,-98.73336646177204,False,0.769907126143327,1.091868190049326,1.3914552862622263,11.736844023389764
32.59231323242187,-6.058675304483604,-41.24219829242992,-6.862192583744788,-41.14696181342884,1.096289251112055,-105.807427974865,False,0.8091415234702883,1.119717787839812,1.4597386832268717,11.887887654773934
32.79021801757812,-6.049311046100248,-41.45346865275823,-6.8064751644794805,-41.359396617974504,1.0892350907049193,-103.24859872977551,False,0.7629856157814189,1.089645476736449,1.387696323476349,11.663227320936697
33.37293798828125,-6.049311046100248,-42.04280176404118,-6.824812932234983,-41.97213994703712,1.0792649018376221,-101.80170239949798,False,0.7787144969633262,1.1114086855518308,1.4524266612028889,11.819789341159161
33.78614624023437,-6.039946787121219,-42.45422299297963,-6.830530951930505,-42.38950983544622,1.067737687905257,-105.88380120858154,False,0.7932282864378573,1.1100717694275168,1.4441451518142805,11.744413106033605
33.83316357421875,-6.030582528737863,-42.50982045581442,-6.745708318738395,-42.43665868885142,1.0604253885557569,-105.84193550750084,False,0.7188584976676794,1.060981730581628,1.3257795149811573,11.496385533790471
34.57500122070312,-6.077403821845987,-43.26594595772371,-6.817976858761554,-43.19473960109252,1.050739076948597,-102.90576224038585,False,0.7439884194199756,1.1056088227814653,1.4493429143671528,11.960247274431493
34.79205859375,-6.086768080229344,-43.499455302903,-6.778943596085858,-43.415337296577306,1.04377413879435,-104.7665754729247,False,0.6972680859894855,1.077782547567983,1.3799253643075822,11.75602764628197
35.216444580078125,-6.114860855975085,-43.95535450225074,-6.803020686947519,-43.847125817538256,1.0380282493939725,-105.46452406390293,False,0.6966185478140849,1.0813183266132704,1.392887124649785,11.731195558426869
35.791671386718754,-6.208503441595663,-44.5780460915175,-6.825396086378308,-44.44914445791912,1.0362591106097871,-100.3626610714442,False,0.6302159680072048,1.0983996954352848,1.454144834056888,11.8860050038751
35.83593896484375,-6.21786770057469,-44.6447630474851,-6.761433038274903,-44.51222759425995,1.0364522764797146,-100.36826755193421,False,0.5594898772191887,1.049628179620038,1.3307258155432087,11.646057266979339
36.417523925781246,-6.320874544578625,-45.278574129884674,-6.828613068248112,-45.12535664771435,1.0392131816891292,-102.64682070826169,False,0.5303527177838204,1.0736195906352175,1.4056876334327557,11.84293184395715
36.79656958007812,-6.414517130794874,-45.6788758656903,-6.806908462415154,-45.54424144180096,1.0439175217954813,-94.15352203210955,False,0.4148462187687757,1.0648430224365133,1.4032740688099394,11.770985794928134
37.213150634765626,-6.498795458032095,-46.12365557190523,-6.8145375953208545,-46.002264676267295,1.04945704046704,-96.26851857592581,False,0.33827333149903227,1.0636133160202557,1.414422465307078,11.736760053330809
37.70732495117187,-6.592438044248344,-46.67963020520438,-6.879426467332466,-46.54302220395237,1.056892815839147,-101.15766366407684,False,0.3178428872735413,1.0755467241035879,1.4470778792512942,11.786520628271886
37.79865112304688,-6.639259336760798,-46.80194462400677,-6.867859712817904,-46.66667723028167,1.0636543213068899,-99.5212386458794,False,0.2656226642036256,1.0375584634322659,1.3418877711403572,11.556337416828395
38.348668457031245,-6.751630439743759,-47.35791925730592,-6.852275668935413,-47.27338895906072,1.0695425138409516,-89.58439827381491,False,0.13143376080925318,1.052531035689772,1.4081970120155565,11.711856604957442
38.798517578125,-6.920187094218202,-47.84717693534479,-6.8990539328367495,-47.774204601365355,1.0759726227644122,-95.06731506098981,False,0.07597086307513497,1.058724928121312,1.427855453116438,11.714724479295173
39.06718261718751,-7.013829679838781,-48.13628374477352,-6.9160814021430355,-48.07981057317025,1.0811846644250878,-90.65046628197705,False,0.1128890823039025,1.0428614771260851,1.384400278883992,11.554576827635685
39.570368896484375,-7.13556504180077,-48.62554142139774,-6.907245621439495,-48.624783761261,1.0823115956315583,-85.91254585622707,False,0.22832067747576265,1.0541352800094403,1.4255476608778803,11.630951079120338
39.79598974609375,-7.210479110654636,-48.870170260417176,-6.9389209762231845,-48.8706842340455,1.0831908723375216,-89.13987839489029,False,0.2715586208257453,1.0349172721718147,1.3684524265246718,11.44789430357509
40.36784716796876,-7.3415787304043105,-49.403905908158016,-6.99630568717286,-49.47224355954893,1.0785318522909744,-91.18111977241414,False,0.3519708922339072,1.057240332897394,1.4340890662749892,11.625873863410764
